Year,quarter,city1,city2,fare,carrier_lg,fare_lg,carrier_low,fare_low
2023,1,"Allentown, Pennsylvania","Tampa, Florida",138.7,G4,123.68,G4,123.68
2023,1,"Allentown, Pennsylvania","Sanford, Florida",110.65,G4,110.65,G4,110.65
2023,1,"Albuquerque, New Mexico",Dallas–Fort Worth metroplex,212.68,WN,201.23,WN,201.23
2023,1,"Albuquerque, New Mexico",Denver,168,WN,164.7,WN,164.7
2023,1,"Albuquerque, New Mexico","Austin, Texas",208.88,WN,198.18,WN,198.18
2023,1,"Albuquerque, New Mexico","Phoenix, Arizona",180.52,WN,174.27,WN,174.27
2023,1,"Albuquerque, New Mexico",Seattle,183.01,AS,176.28,AS,176.28
2023,1,"Albuquerque, New Mexico","Washington, DC (Metropolitan Area)",325.24,WN,296.06,WN,296.06
2023,1,"Albuquerque, New Mexico",Chicago,272.88,WN,258.12,WN,258.12
2023,1,"Albuquerque, New Mexico",Houston,257.37,WN,238.32,WN,238.32
2023,1,"Albuquerque, New Mexico",New York City,272.54,AA,252.9,WN,227.66
2023,1,"Albuquerque, New Mexico",Las Vegas,165.86,WN,173.83,NK,101.35
2023,1,"Albuquerque, New Mexico",San Francisco,241.76,WN,230.95,WN,230.95
2023,1,"Albuquerque, New Mexico",Los Angeles,207.03,WN,187.38,WN,187.38
2023,1,"Albuquerque, New Mexico",San Diego,215.42,WN,212.31,WN,212.31
2023,1,"Albuquerque, New Mexico","Portland, Oregon",171.96,AS,148.33,AS,148.33
2023,1,"Atlantic City, New Jersey","Orlando, Florida",94.19,NK,93.98,NK,93.98
2023,1,"Atlantic City, New Jersey","Fort Myers, Florida",136.89,NK,136.89,NK,136.89
2023,1,"Atlantic City, New Jersey",Miami,111.61,NK,110.69,NK,110.69
2023,1,"Atlantic City, New Jersey","Tampa, Florida",120.27,NK,119.18,NK,119.18
2023,1,"Atlantic City, New Jersey","West Palm Beach, Florida",125.28,NK,125.08,NK,125.08
2023,1,"Colorado Springs, Colorado",Dallas–Fort Worth metroplex,183.42,AA,207.28,WN,148.34
2023,1,"Colorado Springs, Colorado","Phoenix, Arizona",168.36,WN,161.98,WN,161.98
2023,1,"Colorado Springs, Colorado",Las Vegas,153.3,WN,147.37,WN,147.37
2023,1,"Colorado Springs, Colorado",Los Angeles,209.58,WN,175.45,WN,175.45
2023,1,Dallas–Fort Worth metroplex,Pittsburgh,255.27,AA,265.14,WN,212.19
2023,1,Dallas–Fort Worth metroplex,Denver,180.23,WN,168.68,F9,98.2
2023,1,Dallas–Fort Worth metroplex,"Tucson, Arizona",316.54,AA,328.35,UA,235.75
2023,1,Dallas–Fort Worth metroplex,"Phoenix, Arizona",249.68,AA,316.89,WN,220.63
2023,1,Dallas–Fort Worth metroplex,"Hartford, Connecticut",343.73,AA,371.42,WN,272.82
2023,1,Dallas–Fort Worth metroplex,Seattle,268.89,AS,252.16,AS,252.16
2023,1,Dallas–Fort Worth metroplex,"El Paso, Texas",214.72,WN,200.2,WN,200.2
2023,1,Dallas–Fort Worth metroplex,"Nashville, Tennessee",226.55,AA,240.88,WN,207.64
2023,1,Dallas–Fort Worth metroplex,"Washington, DC (Metropolitan Area)",250.37,AA,292.94,WN,213.72
2023,1,Dallas–Fort Worth metroplex,St. Louis,219.24,WN,202.51,WN,202.51
2023,1,Dallas–Fort Worth metroplex,"Jacksonville, Florida",294.31,AA,297.55,WN,232.7
2023,1,Dallas–Fort Worth metroplex,Detroit,246.61,DL,272.47,NK,124.16
2023,1,Dallas–Fort Worth metroplex,"Des Moines, Iowa",267.31,AA,274.26,WN,202.07
2023,1,Dallas–Fort Worth metroplex,Houston,178.12,WN,169.54,WN,169.54
2023,1,Dallas–Fort Worth metroplex,"Orlando, Florida",232.22,AA,308.04,NK,118.9
2023,1,Dallas–Fort Worth metroplex,"Panama City, Florida",246.27,WN,223.98,WN,223.98
2023,1,Dallas–Fort Worth metroplex,"Valparaiso, Florida",245.35,AA,265.52,WN,186.08
2023,1,Dallas–Fort Worth metroplex,Minneapolis–Saint Paul,273.9,DL,282.88,AA,275.92
2023,1,Dallas–Fort Worth metroplex,New York City,202.5,AA,217.19,WN,148.96
2023,1,Dallas–Fort Worth metroplex,"Fort Myers, Florida",319.1,AA,336.58,WN,244.06
2023,1,Dallas–Fort Worth metroplex,"Greenville/Spartanburg, SC",331.14,AA,349.95,WN,218.67
2023,1,Dallas–Fort Worth metroplex,"Grand Rapids, Michigan",315.12,AA,323.35,WN,217.8
2023,1,Dallas–Fort Worth metroplex,"Harlingen, Texas",182.97,WN,163.13,WN,163.13
2023,1,Dallas–Fort Worth metroplex,Las Vegas,232.7,AA,324.33,F9,105.86
2023,1,Dallas–Fort Worth metroplex,Indianapolis,268,AA,288.31,WN,216.03
2023,1,Dallas–Fort Worth metroplex,San Francisco,244.26,AA,304.92,F9,105.03
2023,1,Dallas–Fort Worth metroplex,Miami,258.83,AA,336.46,NK,124.9
2023,1,Dallas–Fort Worth metroplex,Los Angeles,262.15,AA,310.44,NK,133.5
2023,1,Dallas–Fort Worth metroplex,"Little Rock, Arkansas",212.45,AA,231.32,WN,183.62
2023,1,Dallas–Fort Worth metroplex,"Lubbock, Texas",192.18,WN,180.15,WN,180.15
2023,1,Dallas–Fort Worth metroplex,"Louisville, Kentucky",228.28,AA,230.11,WN,204.89
2023,1,Dallas–Fort Worth metroplex,"Midland/Odessa, TX",215.09,WN,196.23,WN,196.23
2023,1,Dallas–Fort Worth metroplex,"Sacramento, California",300.32,AA,331.78,WN,273.31
2023,1,Dallas–Fort Worth metroplex,"Tampa, Florida",216.28,AA,267.98,WN,184.71
2023,1,Dallas–Fort Worth metroplex,"Kansas City, Missouri",204.72,WN,186.77,WN,186.77
2023,1,Dallas–Fort Worth metroplex,San Antonio,216.78,WN,201.24,WN,201.24
2023,1,Dallas–Fort Worth metroplex,"Memphis, Tennessee",194.77,AA,201.98,WN,160.69
2023,1,Dallas–Fort Worth metroplex,"Omaha, Nebraska",234.99,AA,247.33,WN,203.72
2023,1,Dallas–Fort Worth metroplex,Milwaukee,256.9,AA,272.9,WN,216.25
2023,1,Dallas–Fort Worth metroplex,New Orleans,185.83,WN,170.38,WN,170.38
2023,1,Dallas–Fort Worth metroplex,San Diego,251.27,AA,318.78,F9,114.92
2023,1,Dallas–Fort Worth metroplex,"Norfolk, Virginia",297.97,AA,328.62,WN,225.58
2023,1,Dallas–Fort Worth metroplex,"Pensacola, Florida",240.36,AA,252.52,WN,199.31
2023,1,Dallas–Fort Worth metroplex,"West Palm Beach, Florida",382.01,AA,384.09,WN,287.92
2023,1,Dallas–Fort Worth metroplex,"Portland, Oregon",290.81,AA,331.03,AS,261.92
2023,1,Dallas–Fort Worth metroplex,Philadelphia,265.58,AA,317.34,NK,99.66
2023,1,Dallas–Fort Worth metroplex,"Palm Springs, California",314.07,AA,328.87,WN,251.88
2023,1,Dallas–Fort Worth metroplex,"Raleigh/Durham, NC",276.37,AA,299.49,WN,227.13
2023,1,Dallas–Fort Worth metroplex,"Richmond, Virginia",333.06,AA,348.34,NK,139.3
2023,1,Dallas–Fort Worth metroplex,"Reno, Nevada",337.27,AA,382.59,WN,267.51
2023,1,Dallas–Fort Worth metroplex,Salt Lake City,286.05,DL,302.73,WN,237.04
2023,1,Dallas–Fort Worth metroplex,"Tulsa, Oklahoma",203.69,AA,217.66,WN,180.71
2023,1,Dallas–Fort Worth metroplex,"Savannah, Georgia",262.49,AA,273.78,WN,212.7
2023,1,Pittsburgh,Seattle,238.91,AS,221.81,WN,184.48
2023,1,Pittsburgh,"Washington, DC (Metropolitan Area)",210.78,AA,226.18,WN,182.53
2023,1,Pittsburgh,San Francisco,313.49,UA,324.87,WN,261.36
2023,1,Pittsburgh,"Tampa, Florida",177.41,WN,208.59,NK,99.65
2023,1,Pittsburgh,"Sarasota/Bradenton, FL",183.39,WN,201.99,G4,121.16
2023,1,"Huntsville, Alabama","Washington, DC (Metropolitan Area)",315.42,AA,310.89,UA,306.11
2023,1,"Albany, New York","Washington, DC (Metropolitan Area)",215.73,AA,237.42,WN,181.2
2023,1,"Albany, New York","Orlando, Florida",210.85,WN,206.58,B6,204.15
2023,1,"Albany, New York",Miami,231.37,B6,234.74,WN,199.96
2023,1,"Albany, New York","Tampa, Florida",208.59,WN,230.68,G4,127.3
2023,1,"Amarillo, Texas",Dallas–Fort Worth metroplex,188.73,WN,175.04,WN,175.04
2023,1,Denver,Pittsburgh,255.95,UA,273.91,WN,232.2
2023,1,Denver,"Tucson, Arizona",210.54,UA,221.67,WN,192.86
2023,1,Denver,"Phoenix, Arizona",184.09,WN,185.26,F9,116.5
2023,1,Denver,"Hartford, Connecticut",235.82,F9,121.57,F9,121.57
2023,1,Denver,Seattle,175.33,AS,179.11,WN,156.58
2023,1,Denver,"El Paso, Texas",157.22,WN,150.96,F9,91.32
2023,1,Denver,"Nashville, Tennessee",215.16,WN,225.15,F9,104.98
2023,1,Denver,"Washington, DC (Metropolitan Area)",244.64,UA,287.89,F9,125.09
2023,1,Denver,St. Louis,197.63,WN,204.14,F9,92.99
2023,1,Denver,"Jacksonville, Florida",254.32,UA,293.96,F9,118.37
2023,1,Denver,Detroit,231.55,DL,248.52,WN,207.1
2023,1,Denver,"Des Moines, Iowa",163.47,UA,174.85,WN,148.45
2023,1,Denver,Houston,205.28,UA,252.97,F9,96.79
2023,1,Denver,"Orlando, Florida",236.26,UA,299.61,F9,131.21
2023,1,Denver,Minneapolis–Saint Paul,168.89,DL,196.62,SY,108.77
2023,1,Denver,New York City,226.76,UA,240.96,WN,173.59
2023,1,Denver,"Fort Myers, Florida",251.96,UA,338.4,F9,117.76
2023,1,Denver,"Spokane, Washington",217.78,UA,228.73,WN,194.65
2023,1,Denver,"Grand Rapids, Michigan",200.16,UA,210.77,WN,187.11
2023,1,Denver,Las Vegas,165.22,WN,175.77,F9,93.31
2023,1,Denver,Indianapolis,214.18,WN,205.22,F9,97.87
2023,1,Denver,San Francisco,208.06,UA,233.75,WN,194.31
2023,1,Denver,Miami,256.43,UA,360.51,NK,115.87
2023,1,Denver,Los Angeles,167.87,WN,159.44,WN,159.44
2023,1,Denver,"Little Rock, Arkansas",211.26,WN,191.84,F9,105.23
2023,1,Denver,"Louisville, Kentucky",242.58,UA,241.15,WN,229.83
2023,1,Denver,"Sacramento, California",195.79,WN,190.45,WN,190.45
2023,1,Denver,"Tampa, Florida",215.89,F9,123.35,F9,123.35
2023,1,Denver,"Kansas City, Missouri",184.45,WN,191.15,WN,191.15
2023,1,Denver,San Antonio,200.79,WN,197.36,WN,197.36
2023,1,Denver,"Memphis, Tennessee",206.45,UA,237.62,F9,98.5
2023,1,Denver,"Omaha, Nebraska",160.52,UA,168.2,WN,161.3
2023,1,Denver,Milwaukee,204.85,WN,206.96,F9,92.24
2023,1,Denver,"Madison, Wisconsin",178,UA,191.52,F9,91.71
2023,1,Denver,New Orleans,233.54,UA,272.9,F9,124.43
2023,1,Denver,San Diego,190.92,WN,188.03,F9,109.45
2023,1,Denver,"Norfolk, Virginia",269.55,UA,283.01,WN,249.18
2023,1,Denver,"Pensacola, Florida",218.12,F9,128.44,F9,128.44
2023,1,Denver,Oklahoma City,180.05,WN,162.38,WN,162.38
2023,1,Denver,"West Palm Beach, Florida",240.66,F9,104.86,F9,104.86
2023,1,Denver,"Portland, Oregon",179.32,UA,203.11,AS,169.15
2023,1,Denver,Philadelphia,233.46,AA,255.26,F9,107.98
2023,1,Denver,"Palm Springs, California",247.18,UA,259.59,WN,215.97
2023,1,Denver,"Raleigh/Durham, NC",221.25,UA,254.51,F9,117.29
2023,1,Denver,"Richmond, Virginia",250.63,UA,247.9,WN,202.18
2023,1,Denver,"Reno, Nevada",237.95,UA,251.82,WN,218.47
2023,1,Denver,Salt Lake City,171.33,DL,179.83,F9,91.1
2023,1,Denver,"Tulsa, Oklahoma",186.71,WN,168.8,WN,168.8
2023,1,Denver,"Santa Barbara, California",201.99,UA,221.91,WN,170.49
2023,1,Denver,"Knoxville, Tennessee",219.68,UA,283.21,F9,118.2
2023,1,"Aspen, Colorado",New York City,614.1,UA,613.89,AA,581.38
2023,1,"Aspen, Colorado",Los Angeles,388.27,UA,387.92,AA,386.07
2023,1,Atlanta,Dallas–Fort Worth metroplex,203.19,DL,244,WN,168.97
2023,1,Atlanta,Pittsburgh,228.34,DL,240.45,WN,170.48
2023,1,Atlanta,Denver,229.77,DL,272.84,F9,106
2023,1,Atlanta,"Austin, Texas",235.42,DL,249.76,WN,196.32
2023,1,Atlanta,"Phoenix, Arizona",303.12,DL,397.11,F9,117.52
2023,1,Atlanta,"Hartford, Connecticut",214.87,DL,239.98,F9,83.12
2023,1,Atlanta,Seattle,313.72,DL,367.58,AS,257.91
2023,1,Atlanta,Cleveland,160.47,DL,177.22,NK,95.8
2023,1,Atlanta,"Nashville, Tennessee",222.63,DL,237.35,WN,166.69
2023,1,Atlanta,Boston,203.36,DL,237.51,B6,144.45
2023,1,Atlanta,"Buffalo, New York",264.18,DL,290.14,WN,209.5
2023,1,Atlanta,"Washington, DC (Metropolitan Area)",188,DL,205.53,WN,161.25
2023,1,Atlanta,Chicago,174.45,DL,208.01,WN,153.97
2023,1,Atlanta,"Charleston, South Carolina",284.33,DL,284.46,DL,284.46
2023,1,Atlanta,"Charlotte, North Carolina",285.99,DL,293.33,AA,276.28
2023,1,Atlanta,"Columbus, Ohio",216.82,DL,226.44,WN,169.84
2023,1,Atlanta,St. Louis,206.03,DL,227.18,WN,175.89
2023,1,Atlanta,"Jacksonville, Florida",235.78,DL,245.65,WN,166.02
2023,1,Atlanta,Detroit,192.53,DL,229.07,NK,104.32
2023,1,Atlanta,Houston,187.25,DL,208.52,WN,169.25
2023,1,Atlanta,"Orlando, Florida",190,DL,227.21,NK,97.47
2023,1,Atlanta,Minneapolis–Saint Paul,285.45,DL,335.23,NK,114.7
2023,1,Atlanta,New York City,182.69,DL,215.45,UA,165.93
2023,1,Atlanta,"Fort Myers, Florida",241.1,DL,251.18,WN,147.6
2023,1,Atlanta,"Grand Rapids, Michigan",295.9,DL,304.89,WN,195.92
2023,1,Atlanta,"Greensboro/High Point, NC",250.93,DL,250.6,DL,250.6
2023,1,Atlanta,Las Vegas,318.98,DL,477.7,F9,118.99
2023,1,Atlanta,Indianapolis,217.94,DL,234.38,WN,159.59
2023,1,Atlanta,San Francisco,367.22,DL,468.34,F9,144.1
2023,1,Atlanta,Miami,173.93,DL,204.05,NK,97.18
2023,1,Atlanta,Los Angeles,376.4,DL,505.98,NK,149.47
2023,1,Atlanta,"Little Rock, Arkansas",210.98,DL,219.99,WN,157.42
2023,1,Atlanta,"Louisville, Kentucky",215.2,DL,226.98,WN,153.69
